"Those eyes of thine from mine have drawn salt tears , Shamed their aspect with store of childish drops : These eyes that never shed remorseful tear , No , when my father York and Edward wept , To hear the piteous moan that Rutland made When black-faced Clifford shook his sword at him ; Nor when thy warlike father , like a child , Told the sad story of my father 's death , And twenty times made pause to sob and weep , That all the standers-by had wet their cheeks Like trees bedash 'd with rain : in that sad time My manly eyes did scorn an humble tear ; And what these sorrows could not thence exhale , Thy beauty hath , and made them blind with weeping .","[('tears', 9, '/tɛː/', 'N'), ('tear', 26, '/ter/', 'N'), ('tear', 111, '/ter/', 'N')]","Richard III"
"The merciless Macdonwald -- Worthy to be a rebel , for to that The multiplying villanies of nature Do swarm upon him -- from the western isles Of kerns and gallowglasses is supplied ; And fortune , on his damned quarrel smiling , Show 'd like a rebel 's whore : but all 's too weak : For brave Macbeth -- well he deserves that name -- Disdaining fortune , with his brandish 'd steel , Which smoked with bloody execution , Like valour 's minion carved out his passage Till he faced the slave ; Which ne'er shook hands , nor bade farewell to him , Till he unseam 'd him from the nave to the chaps , And fix 'd his head upon our battlements .","[('rebel', 8, 'R EH1 B AH0 L', 'N'), ('rebel', 47, 'R EH1 B AH0 L', 'N'), ('passage', 89, '/ˈpasij/', 'N')]","Macbeth"
"Millennials are tired of being stereotyped by boomers who refuse to retire share the wealth continue needed social programs recognize the crushing impact of student loan debt quit running for president Millennials ’ answer to Boomers is an eye roll and the phrase “ OK , Boomer. ” OK boomer is meant to be cutting and dismissive .","[('refuse', 9, '/rəˈfyo͞oz/', 'V'), ('retire', 11, '/rəˈtī(ə)r/', 'V'), ('impact', 22, 'IH1 M P AE0 K T', 'N')]","OK Boomer"
"“ You can eat the candy cane now , but you shouldn ’ t open the box until Christmas morning , ” he said as Tommy started to tear the bow off the box .","[('started', 26, '/stɑːt/', 'V'), ('tear', 28, '/ter/', 'V'), ('bow', 30, '/bou/', 'N')]","A Very Library Pets Christmas Eve Story-Pt 1"
"If this austere insociable life Change not your offer made in heat of blood ; If frosts and fasts , hard lodging and thin weeds Nip not the gaudy blossoms of your love , But that it bear this trial and last love ; Then , at the expiration of the year , Come challenge me , challenge me by these deserts , And , by this virgin palm now kissing thine I will be thine ; and till that instant shut My woeful self up in a mourning house , Raining the tears of lamentation For the remembrance of my father 's death .","[('last', 41, '/last/', 'ADJ'), ('palm', 68, '/pä(l)m/', 'N'), ('tears', 93, '/tɛː/', 'N')]","Love's Labour's Lost"
"Why , as men do a-land ; the great ones eat up the little ones : I can compare our rich misers to nothing so fitly as to a whale ; a ' plays and tumbles , driving the poor fry before him , and at last devours them all at a mouthful : such whales have I heard on o ' the land , who never leave gaping till they 've swallowed the whole parish , church , steeple , bells , and all .","[('whale', 29, '/(h)wāl/', 'N'), ('last', 46, '/last/', 'ADJ'), ('whales', 55, '/weɪl/', 'N')]","Pericles"
"Contending with the fretful element : Bids the winds blow the earth into the sea , Or swell the curled water 'bove the main , That things might change or cease ; tears his white hair , Which the impetuous blasts , with eyeless rage , Catch in their fury , and make nothing of ; Strives in his little world of man to out-scorn The to-and-fro-conflicting wind and rain .","[('winds', 8, '/wɪnd/', 'N'), ('tears', 32, '/tɛː/', 'V'), ('wind', 67, '/wind/', 'N')]","King Lear"
"O earth , I will befriend thee more with rain , That shall distil from these two ancient urns , Than youthful April shall with all his showers : In summer 's drought I 'll drop upon thee still ; In winter with warm tears I 'll melt the snow And keep eternal spring-time on thy face , So thou refuse to drink my dear sons ' blood .","[('ancient', 17, '/ˈān(t)SHənt/', 'N'), ('tears', 44, '/tɛː/', 'N'), ('refuse', 60, '/rəˈfyo͞oz/', 'V')]","Titus Andronicus"
"In addition to providing free computers and resume books for all job seekers , set up a section for military/veterans re-entering civilian job markets .","[('resume', 7, '/rəˈzo͞om/', 'V'), ('job', 11, '/jäb/', 'N'), ('job', 22, '/jäb/', 'N')]","Serving Those Who Served:  Libraries and Veterans"
"The last “ Greatest Generation ” president , he was in marked contrast to what may be the last “ Baby boomer ” president .","[('last', 1, '/last/', 'ADJ'), ('contrast', 12, 'K AA1 N T R AE0 S T', 'N'), ('last', 18, '/last/', 'ADJ')]","Winter of ’41"
"For the last year or more that has meant that I took the lead on the SL program ( because there has been a lot going on ) and Shandon took the lead in our branch operations on other grids .","[('last', 2, '/last/', 'ADJ'), ('lead', 13, '/lēd/', 'N'), ('lead', 32, '/lēd/', 'N')]","Seanchai Library Turns IX–Part 2"
"And then with kind embracements , tempting kisses , And with declining head into his bosom , Bid him shed tears , as being overjoy 'd To see her noble lord restored to health , Who for this seven years hath esteem 'd him No better than a poor and loathsome beggar : And if the boy have not a woman 's gift To rain a shower of commanded tears , An onion will do well for such a shift , Which in a napkin being close convey 'd Shall in despite enforce a watery eye .","[('tears', 20, '/tɛː/', 'N'), ('tears', 69, '/tɛː/', 'N'), ('close', 86, '/klōs/', 'ADJ')]","Taming of the Shrew"
"He that no more must say is listen 'd more Than they whom youth and ease have taught to glose ; More are men 's ends mark 'd than their lives before : The setting sun , and music at the close , As the last taste of sweets , is sweetest last , Writ in remembrance more than things long past : Though Richard my life 's counsel would not hear , My death 's sad tale may yet undeaf his ear .","[('close', 41, '/kloʊs/', 'N'), ('last', 45, '/last/', 'ADJ'), ('last', 52, '/last/', 'ADJ')]","Richard II"
"Our last king , Whose image even but now appear 'd to us , Was , as you know , by Fortinbras of Norway , Thereto prick 'd on by a most emulate pride , Dared to the combat ; in which our valiant Hamlet -- For so this side of our known world esteem 'd him -- Did slay this Fortinbras ; who by a seal 'd compact , Well ratified by law and heraldry , Did forfeit , with his life , all those his lands Which he stood seized of , to the conqueror : Against the which , a moiety competent Was gaged by our king ; which had return 'd To the inheritance of Fortinbras , Had he been vanquisher ; as , by the same covenant , And carriage of the article design 'd , His fell to Hamlet .","[('last', 1, '/last/', 'ADJ'), ('compact', 68, '/kəmˈpakt/', 'V'), ('law', 73, '/lɔ/', 'N')]","Hamlet"
"Upon seeing the tear in the painting I shed a tear .","[('tear', 3, '/ter/', 'N'), ('tear', 10, '/tɛr/', 'N')]","Word Play from an English Teacher"
"O , no tears , Lychorida , no tears : Look to your little mistress , on whose grace You may depend hereafter .","[('tears', 3, '/tɛː/', 'N'), ('tears', 8, '/tɪə/', 'N')]","Pericles"
"Gracious conqueror , Victorious Titus , rue the tears I shed , A mother 's tears in passion for her son : And if thy sons were ever dear to thee , O , think my son to be as dear to me !","[('tears', 8, '/tɛː/', 'N'), ('tears', 15, '/tɪə/', 'N')]","Titus Andronicus"
"Peace , tender sapling ; thou art made of tears , And tears will quickly melt thy life away .","[('tears', 9, '/tɪə/', 'N'), ('tears', 12, '/tɛː/', 'N')]","Titus Andronicus"
"Julian dates ( abbreviated JD ) are simply a continuous count of days and fractions since noon Universal Time on January 1 , 4713 BC ( on the Julian calendar ) .","[('Julian', 0, '/ˈjo͞olyən/', 'ADJ'), ('Julian', 28, '/ˈdʒuljən/', 'N')]","Happy New Year"
"The farm was used to produce produce .","[('produce', 5, 'P R AH0 D UW1 S', 'V'), ('produce', 6, 'P R OW1 D UW0 S', 'N')]","Word Play from an English Teacher"
